Evento,Link
DEKA Zaragoza 2024,https://my.raceresult.com/297279/
DEKA Zaragoza 2025,https://my.raceresult.com/348477/
DEKA Guadalajara 2024,https://my.raceresult.com/315047/
DEKA Guadalajara 2025,https://my.raceresult.com/367449/
DEKA Madrid 2023,https://my.raceresult.com/253887/
DEKA Madrid 2024,https://my.raceresult.com/300261/
DEKA Madrid 2025,https://my.raceresult.com/350519/
DEKA Madrid 2026,https://my.raceresult.com/410443/
DEKA Barcelona 2023,https://my.raceresult.com/264048/
DEKA Barcelona 2024,https://my.raceresult.com/310453/
DEKA Barcelona 2025,https://my.raceresult.com/362250/
DEKA Barcelona 2026 Primavera,https://my.raceresult.com/388673/
DEKA Tenerife 2023,https://my.raceresult.com/269842/
DEKA Tenerife 2024,https://my.raceresult.com/316990/
DEKA Tenerife 2025,https://my.raceresult.com/370624/
DEKA Valencia 2024,https://my.raceresult.com/289928/
DEKA Valencia 2025,https://my.raceresult.com/347348/
DEKA Valencia 2026,https://my.raceresult.com/392196/
